TIME;DAY;DATE;LEAGUE;HOME;AWAY;MATCH_ID;1;X;2;0-2;2+;3+;GG;IGG;GG&3+
12:00;Sub;25.10.;TUR3;Inegolspor;Kepez;499;1.5;3.95;5.45;2.07;1.2;1.67;1.78;4.35;2.07
12:00;Sub;25.10.;TUR3;Aliaga;Yeni Mersin Idmanyurdu;493;1.1;7.0;16.8;2.8;1.09;1.38;2.6;6.15;2.75
12:00;Sub;25.10.;TUR4;Bulvarspor;Edirnespor;500;1.5;4.0;5.2;2.2;1.17;1.6;1.7;4.05;1.95
12:00;Sub;25.10.;TUR4;Bursa Nilufer;Bursa Yildirim SK;501;2.3;3.2;2.75;1.78;1.3;1.92;1.75;4.45;2.15
12:00;Sub;25.10.;TUR4;Ayvalikgucu;Soke 1970;501;2.4;3.25;2.6;1.72;1.33;2.0;1.8;4.65;2.25
12:00;Sub;25.10.;TUR4;Usakspor;Tire 2021;501;1.95;3.45;3.25;1.83;1.28;1.87;1.77;4.45;2.15
12:30;Sub;25.10.;AUT2;Austria Salzburg;Austria Vienna (Am);530;2.2;3.45;2.95;2.05;1.21;1.7;1.6;3.9;1.9
12:30;Sub;25.10.;AUT3;Dornbirn;Seekirchen;502;2.28;3.55;2.55;2.55;1.12;1.45;1.42;3.2;1.62
12:30;Sub;25.10.;AUT3;Wals-Grunau;Johann;501;1.6;3.8;4.4;2.35;1.15;1.52;1.55;3.65;1.78
12:30;Sub;25.10.;BIH2;Banovici;Bratstvo Gracanica;;2.1;3.15;3.2;1.65;1.37;2.1;1.88;;
12:30;Sub;25.10.;BIH2;Travnik;NK Vitez;;1.5;3.8;5.65;1.77;1.31;1.95;2.05;;
12:30;Sub;25.10.;BUG1;Slavia Sofia;Cherno More;530;3.1;3.1;2.25;1.67;1.35;2.07;1.82;4.85;2.28
12:30;Sub;25.10.;ČEŠ2;Kromeriz;Jihlava;500;2.35;3.4;2.75;1.85;1.27;1.85;1.7;4.25;2.05
12:30;Sub;25.10.;ČEŠ2;Pribram;Chrudim;500;2.22;3.4;2.95;1.88;1.26;1.82;1.7;4.2;2.05
12:30;Sub;25.10.;ČEŠ2;Taborsko;Slavia Prague B;501;1.78;3.65;4.0;2.03;1.21;1.7;1.65;4.05;1.95
12:30;Sub;25.10.;ČEŠ3;Blansko;Sigma Olomouc B;502;6.75;5.2;1.3;3.1;1.07;1.32;1.6;3.45;1.72
12:30;Sub;25.10.;ČEŠ3;Hlubina;Polanka nad Odrou;501;1.8;3.65;3.6;2.35;1.15;1.52;1.5;3.5;1.73
